vehicle_id,driver_id,driver_name,manufacturer,monthly_revenue_generation,yearly_revenue,maintenance_cost,driver_revenue,battery_percentage,expected_distance_km,trip_speed_kmph,vehicle_status,date,time,violations
EV-103,103,Manikandan,Tesla,289059.48,3222512.77,24736.59,5565.59,13,57.71,92.6,Running,15-05-2024,11.37,None
EV-436,436,Arun,Tata,399923.92,5127508.07,17823.2,3609.57,74,374.99,64.29,Running,04-03-2024,20.34,Speeding
EV-861,861,Vetri,Maruti,106210.59,1153897.98,12474.27,2241.18,28,134.45,34.58,Running,08-12-2024,14.49,Harsh Braking
EV-271,271,Chandran,Mahindra,12673.89,138429.34,25721.08,3584.13,94,368.07,48.41,Running,07-05-2025,13.43,Route Deviation
EV-107,107,Suriya,BMW,154274.96,1662185.19,32126.37,2329.66,69,396.92,40.88,Running,04-10-2024,11.17,Overcharging
EV-72,72,Naveen,Tesla,429284.7,5286614.76,47776.01,3675.03,91,527.44,71.7,Running,06-08-2025,19.15,None
EV-701,701,Kumar,Tata,391350.28,5097373.23,19458.53,6647.39,21,127.57,95.96,Running,01-09-2025,15.27,Speeding
EV-21,21,Nandhini,Maruti,240287.69,2652785.33,27571,1370.05,41,209.92,37.32,Running,22-09-2024,5.39,Harsh Braking
EV-615,615,Bala,Mahindra,197257.19,2304973.05,28859.5,4611.35,54,220.25,69.72,Running,07-06-2024,18.38,Route Deviation
EV-122,122,Chitra,BMW,37821.26,474288.16,27003.59,2972.46,49,192.24,55.64,Running,10-10-2024,12.34,Overcharging
EV-467,467,Geetha,Tesla,383288.51,4375429.2,42193.49,2394.79,24,132.39,0,Garage,11-09-2024,17.18,None
EV-215,215,Prakash,Tata,262217.17,2906150.46,31862.77,2421.19,63,345.09,45.05,Running,28-11-2025,12.5,Speeding
EV-331,331,Arun,Maruti,279410.85,0,37147.13,1724.4,63,325.68,0,Charging,31-07-2024,15.34,Harsh Braking
EV-459,459,Bala,Mahindra,36334.81,458105.39,15449.99,1810.66,94,416.41,0,Garage,21-07-2025,20.55,Route Deviation
EV-88,88,Ilango,BMW,211221.45,2804137.44,18919.52,3472.27,15,62.94,48.72,Running,28-05-2025,14.01,Overcharging
EV-373,373,Prabhu,Tesla,143736.71,0,16415.2,3501.49,59,273.37,33.01,Running,21-03-2025,6.1,None
